,大概广电局也不知道该从哪里剪
吉林,你们看电影还注意戒指，累不累啊，真不理解你们啊。诺兰的确牛逼。似懂非懂，但是的确好看。小李子演技牛逼。很有意思，绝对大片儿
山西,值得一看
陕西,一层层的梦停留在旋转的陀螺上
北京,来看小李子的，对打斗片段表示震惊，旋转的走廊很酷，还有我说开头怎么和结尾一样呢，原来是一层层的梦境啊……
广东,结尾应该是回到了现实
上海,当时都以为李奥纳多会凭借这部片子得奥斯卡，太好看了！
贵州,这部电影太烧脑了，看到最后还是没弄明白但是是梦是醒
江苏,烧脑，吸引人，好剧，一环套一环，而且特效很棒。不能分心，不然跟不上节奏。
辽宁,记得当时是比较平静的看完了，没能记住太多感受，噢噢，里面的有一个楼梯给了我很大的震惊！有机会重温
河南,"从头到尾都是梦吗？？？
最后应该是回到了现实，陀螺最后其实是不稳的，回家后的小李子也没有带戒指。
我觉得全剧最惨还是小李子的老婆。"
陕西,补标
上海,经典之作
江苏,真的很哇塞了
山东,非常经典的电影，陀螺一直在旋转，或许我们也在梦中。
河北,没什么好说的，看就完了
北京,2021年看的
安徽,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。
安徽,补卡
陕西,满分，蝶梦庄周，庄周梦蝶，导演和编剧都究极牛逼（演员演的也好，但是这个电影主要是创意很恐怖）
湖北,yyds
英国,多年前的爆款 那时候还专门去电影院看
河南,带着莱昂纳多的滤镜看的这部电影，留下最深印象的是特效。
浙江,属于诺兰的独特叙事和想象力
广东,第一次看的时候惊掉下巴了。并没有大家说的那么烧脑，可是就是好看。
山东,当初一直在等陀螺是不是会停。
河南,第二遍了还是不太懂我去看解说🥲
江苏,梦中梦中梦 每次看都有不同感觉 很牛的一部电影
广东,梦中梦中梦中梦
美国,不过如此
辽宁,我试着看了很多次才看完。。只能说hard to keep up the pace
安徽,概念领先，主角团颜值高，开放式结尾
广东,努力开拓人类脑洞 就要从搞梦开始
辽宁,结尾更有看点，整体还行，诺兰的电影多少都属于商业成功，但和蝙蝠侠比还是差了点意思吧，看个爽的话还不错。
上海,比interstellar差一个level吧，interstellar可以算良+到优，这部给个良。我知道CN在很多人心目中算是优秀的名导了，但还是比较疑惑，如果观影过程中我全部注意力都在情节发展和逻辑上，那电影和电视剧还有什么区别呢？完全可以做成一部同样时长的special drama。目前我对CN两部高分电影的观感大抵倾向如此（interstellar还好点，后面四维空间如果在电影院看应该跟自己用小屏幕不一样），很想知道有必须去电影院的理由吗？
山东,二刷，毫无疑问的五星。
湖北,无限递归。
天津,"看过这么多次，但从前却从来没想过，如果人能操纵梦境，那该如何再次分辨虚无与现实，梦是一种科学，但更是人类最遥远的幻境，它美好又可怕。
如果真的当到了肉体苍老之日能真的醒来，发现人生无非大梦一场，窗外依旧是彼时年少的夕阳，那该多么让人恍然呢。
另外，盗梦空间真的是放到今天依旧制作无比精良"
广东,打斗的场景太无聊了
浙江,最后陀螺并没有停止转动，所以Cobb是迷失在他的梦境里了吗？他迷失在了第几层梦呢？你以为的真实其实只是你的梦境，想到这点让人震惊的同时又有些释然，人生的体验在梦里被不断拓宽了。事实上，迷失在自己喜爱的梦里比身处于痛苦的现实中更幸福吧……又想到Reality里唱的 ’Dreams are my reality/ The only kind of real fantasy’（看了影评后发现Cobb的图腾其实是戒指，所以最后他真正见到了孩子们的正脸，也就是回到了现实世界吧，所以the true meaning may be珍惜当下，不要沉湎于过去的悔恨中吧……）
四川,第一次看是和男朋友一起的，结束时我俩都呆了。令人惊奇的设定！诺兰导演真的神了！
广东,精彩
北京,"诺兰牛逼！
我正坐在哪个筑梦师造的写字楼，我需要一个人帮我kick一下"
甘肃,一部好电影如同一本好书，常看常新
山西,创意新颖，逻辑自洽，剧情合理，人物饱满，打斗甚至比大部分电影都要刺激，简直是完美的。甚至这个设定框架拍个系列片，一定能成为商业大IP，但在诺兰对电影的追求里，钱一定不是第一位
内蒙古,真的很魔幻很有意思
湖北,mad果然我是在做梦吧
上海,补/来回看了两三遍，为了写学校影评还翻了纪录片。
天津,对于经常做梦的人来说简直就是复刻。
广东,好看，就是吻戏和床戏太少了，要求多加，特别是床戏。
福建,太震撼了！！！
广东,只能说和星际穿越形成鲜明对比，一部好电影起码要把故事讲好让观众不会困的睡着
重庆,尊的很好看 虽然有些逻辑我还没有理清楚
安徽,为什么有人说故弄玄虚？明明认真看是很清晰明了的，很值得思考的。凭它天马行空的想象力和惊为天人的剧本，这样的电影放在一百年后也不会过时。哦对了，补充一句，能把inception翻译成盗梦空间真的是一种很完美的翻译了。
广东,诺兰出品没啥好说的 五星就对了
山东,一切都是梦境，让我们重回年轻。
广东,"多年再重温，当年看就觉得牛逼，现在电影各种花样都玩遍了
现在看更多看逻辑，很多逻辑不明的，还是我没看懂
1. 财主傻孩子陷入第四层居然是进入男主和老婆制造的梦境，没想明白
2. 陷入第一层，金主中枪，说什么自杀会陷入无限梦境，结局又用3层同时坠落醒来，那为什么不在第一层梦境就坠落醒来，为啥还要冒风险进入3层梦境
3. 金主是脑抽筋，想出这种方法来摧毁竞争对手，方法不是很多吗，还是其他方法都用光了
4. 财主傻儿子竟然因为父亲不留东西给自己 ，就因为这个原因而产生解散父亲的公司的想法
吐槽
1. 男主还真是自私，为了自己回家，隐瞒那么多事情，在别人不知情下拉那么多人跟自己冒险
2. 给妻子植入想法有bug，没有加入限定条件
"
河北,好烧脑  没看懂
上海,神作
云南,现在看还是很震撼
广西,在梦中，一切都很真实，因为你感觉到的真实是建立在六识感受的基础之上的，也就是说，真实是一种你的感觉而已。换句话讲，我们现在认为真实的世界，你也无法证实它的虚幻，因为你串习它实有的时间太长了。
山西,不想说什么了，太费脑子了
河南,很棒的片子，剧情、画面、音乐、音效等，所有电影元素都极其丰满，细节也很好！
安徽,太牛了，震撼
辽宁,即便是现在看这是很神的一部电影，最后不停的陀螺，梦中梦的设定，诺兰很绝。当年个人更喜欢禁闭岛和星际穿越，信条也从事实证明导演走上了物理咖的不归路
上海,队友在carry，男主在假装深情
北京,二刷 但是里面的配角都是工具人
天津,真真假假 亦真亦假
湖南,补标，不是说外国人的电影就是好，实在是盗梦这个概念太新颖，层层梦境很有意思，和妻子的情感纠纷也融入得恰到好处，结尾留下悬念，结的很不错👍
山东,神作…
江苏,剧情很精彩，梦境一层套一层，那时很流行这样的小分队故事，到最后的那个陀螺，我一直没分清是梦境还是现实～
广东,有点迷糊但不多，诺导的演员都特别好，不出意外happy ending（思考…
广东,三刷，高水准悬疑片就是故事讲的清楚，细节耐人寻味。
北京,2023.5 n刷
上海,"上学期期末周看的
想象力+快节奏
我喜欢"
安徽,2010.9
湖北,这部片子看完之后让我疯狂地去找小李子的电影看，好吧最开始好像是泰坦尼克号，然后这部，然后猫鼠游戏，然后是…我忘了😄
北京,跟着B站几位大V的解读重温了一遍十来年前看的烧脑片。诺兰牛啊！
湖北,结局好震撼，到底是不是还在梦里呢。。
江西,“一旦大脑被某个想法占据，想抹去它基本是不可能的。”
吉林,"-高三结束的暑假
很震撼！挺烧脑的"
湖北,电影的技术之巅
云南,梦中梦
天津,CPU已烧干
上海,我评论咋没了。。。
安徽,看完纪录片后恍然大悟，让我们眼前一亮的片段场景是经过一个个幕后技术人员精思妙想搭建出来的，导演诺兰和他的团队真的很厉害。
广东,"“心中满是遗憾
孤独终老”"
辽宁,精妙绝伦的构思，天马行空的剧情，形象逼真的特效，精湛的演技
广东,结局是任务失败了吗？梦中梦太精彩了
广东,视效剧情设置都非常棒！
江苏,来补个评分 高中时看的 当时就是一整个震撼 ea好嗑哈哈哈
辽宁,影片比较烧脑，开放式结局，非常好看。
广东,不会一层又一层的把梦偷偷盗走。哈哈小时候试过一次知道发梦控制梦，变天气。。就喜欢这种设定新奇的电影。。
广东,看评论才知道男主图腾是戒指 怪自己看的不够仔细 亚瑟跟胡歌好像 ps：小李子不玩水枪还是挺帅的
浙江,世界观宏大，好牛逼的编剧
四川,牛逼的 脑壳都牛没了
辽宁,"2023.5.1
最后救斋藤为什么会相遇，应该把「科幻」改为「奇幻」。"
广东,诺兰的电影总是给人以出其不意以及立意深刻。把生活中常见却意想不到的梦境放入哲学的理论的实践的框架结构里，加入简单的深刻的故事构成这个框架的血肉，一部有温度有高度的电影便形成了。
北京,好厉害的想象力
北京,无聊的胡思乱想，没有意义。过度解读实在滑稽可笑。
江苏,2023.5.1全是概念很少感情。但最后那句welcome to home一口气加了三颗星。
广东,"结尾直接多给一星！
8.4"
江苏,没看懂也没get到😭
河南,最大的悬念留在结尾
广东,牛逼！好好看，我愿称之为近年最好的影片之一。
江西,！！！
北京,(˵¯͒〰¯͒˵)
广东,十年后再看，设定依然非常惊叹，就是那些枪战看的莫名
江苏,爽！
四川,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?
吉林,好牛逼啊我靠，刚看完被震撼到不知道说什么了。
重庆,在镜子面前照镜子会看到无数面镜子。
陕西,男主老婆死了。男主造了属于自己和他老婆的梦。男主团队开始执行对日本人任务进行盗梦！成功后造梦师被日本人给发现找到后威胁要求男主给他做事。男主回去成立了小分队，男主为了洗清自己杀老婆嫌疑。。日本人也要求带着自己去了的梦境！他们要求找到一保险箱密码！几个人经历四次梦境重叠。为了救日本人回来，选择不离开有他老婆的梦境。最后几人回到现实飞机上。也见到孩子。
湖南,创意是有，剧情一般
江苏,没有想象中难懂，设定很好，就是动机有点狭隘。
浙江,绝了 我好喜欢囧瑟夫！！
江苏,多年后重刷，看懂了。最后柯布回到家，两个孩子转过头来的那一瞬间，我提到嗓子眼的心终于落了下来，镜头紧接着回到那个陀螺，我的心又提到嗓子眼了！这要命的留白😂
河北,如梦人生
四川,感觉看完长脑子了，之后一定会看第二遍
上海,十年以后再看，依旧直呼牛，让人想到莱姆的小说。梦里大脑急速转动因而时间流逝地格外慢，梦里可以建造一切，梦里的暗示是颗种子，梦是人心的映射，梦可以看到你最害怕的，还有你最想要的。
北京,制造梦，视觉冲击，创造概念
上海,"隔了这么长时间，才算稍微看懂一点
真的是，非常震撼"
天津,"绝妙横生的想象力
引人深省的引导力
以及
令人感到恐怖的无力
经典 难怪成为经典
里面的一些瑕疵 
看完之后 也不忍写出
其他地方 完全可以弥补
结局猜到了 还是不也太能接受啊"
福建,a leap of faith
北京,"每次看都坚持不下去,但有一些镜头印象特别深刻，就是街边花店爆炸那一幕，还有城市反转那一幕。"
陕西,"最喜欢折叠城市的那个镜头，最终恍惚见到孩子的镜头，非常难忘，整体的视觉听觉冲击力非常强。
人脑一次简单的想法的形成，竟然需要这么多人谋划并且抱着生命危险去实施。
我觉得背景陈述不够到位，让观众在扑朔迷离里试图看清真相，虽然非常扣题，但后遗症是把我脑袋搅的乱七八糟。"
北京,Legends
荷兰,很小的时候看的，已经忘记剧情了
湖南,其实可以抛开什么梦境分析，什么结局是不是梦来看这部电影，不论如何，都是一部好片。很喜欢电影的节奏！！最后一句，\EA/！ \EA/！
北京,不真实却让人觉得真实，太科学了
湖南,人生如梦，何时梦醒
云南,教科书级别的镜头美学永远的经典
英国,2023/4/30 11:30 a.m. BFI IMAX
广东,很久钱看过一次，剧情不记得了只记得自己没看到，结局看懂了倒是🤣标记一下再看一次
北京,没看懂
陕西,（8.7/10）大概是关于梦中梦、人脑、意识这方面最早的一批影视作品？几乎最主要的分值是给令人惊叹的想象和构思！Cobi拿妻子做实验，逾越道德伦理约束，未知的好奇和纵容已经埋下恶果——Mayel的死。队友的帮助，在爱妻之死的悔恨后，对可把握的现实有更清醒的意识，终于慢慢克服自责和愧疚，最终走出来了！现实与梦，搏斗与沉迷，孰真孰假？是留在耗费几十年利用记忆造的梦里，还是……？
江西,我看了两边才大概懂了剧情，诺兰YYDS。
安徽,"看完之后，我十分佩服诺兰的脑洞，至少在我看来，影片中的现实、梦境、梦境中的每一层世界都逻辑缜密、严丝合缝。
在科幻的梦中世界中，从大的情感层面来讲，是造梦者小团队几个人互相配合、信任，来完成一次人物，从男主角柯布的情感来讲，是他和他内心的潜意识和内疚达成和解释然的一个过程。
"
北京,鸡皮疙瘩起来了
浙江,没看懂也大受震撼
广东,看过好多遍，拍的非常好，尤其是似梦非梦的氛围营造特别好。
西藏,哇哦～一秒都舍不得快进，是我对一部电影最高的评价！
北京,巨好看！！
美国,几年的坑终于填了 之前看过解说所以理解起来不困难
辽宁,还算吸引人，有兴趣看完。
黑龙江,看了好几遍
广东,◆《Inception》其实早在2003年拍完《白夜追凶》时便已想投给华纳制作。而华纳也确实答应了。但当时剧本都还没写好。而Nolan也觉得不该把它当成一件差事来做，而是该慢慢的把它写好，写好了再找公司发行就行了。他本以为花几个月就能把它写好。但怎知要八年后才能把它完成。
内蒙古,人最大的敌人只有自己
浙江,好烧脑啊
广东,没看懂，但，很震撼
上海,在我的梦里 你得按我的想法规矩来
英国,不管是第几遍看，都能记得10年在先天下顶楼第一次看那个夜晚的震撼
福建,会二刷的
湖北,这想象力我是服的
陕西,如果不是抄的能给五星。
河南,看过四遍。
河北,2023.4.23
广东,吃饱喝足看有点困困的
湖北,2022.2.24看 很棒 只是我脑子不够用
上海,嘿，醒醒了。
上海,男主实在是很讨人厌
山西,好看！庄周梦蝶诺兰版。汤老师好帅
福建,4月27日晩自习看的
广东,看完让我一度怀疑自己是否真实？世界是否存在？
山西,永远的经典，值得回味
上海,"复看觉得俄罗斯套娃模式还是可以理解的，九分以上名副其实。
酒店失重那段拍得最好看，白雪追踪有点太动作片逻辑性不强。不过最终植入费舍的还是个积极向上的idea。虽然开始出于小日本的商战目的"
北京,"好牛，之前有点看不懂就一直没看，今天终于沉下心看完了。用豆友的话来说就是：
看完像自己做梦一样累😂"
天津,早就有耳闻非常烧脑 终于能沉下心来看 烧脑程度还好 但过程也有压抑有难捱 其实我也一度迷失在自己的梦里 梦里什么都有 梦里他还一直在我身边 常常抓不住也放不开 但我也明白 要活在当下 梦终究是要逃离的 老李子真的好帅
吉林,一重接着一重的梦境其实挺可怕的，印象中最多做过二重的梦就已经很压抑了也很害怕了。主角能控制梦境的脑洞很有意思，拍的也不错。
海南,美梦成真！精彩！
甘肃,很有意思的概念，很有想象力的设定，但短短两个小时无法支撑这么庞大的叙事，bug实话说真的不少。关于现实与梦境的探讨，在为什么我们需要梦境上说得很充分，但为什么我们又会选择现实这个命题却被认为是常识直接略过。可是，我觉得这同样是一个值得思考的问题。
