,大概广电局也不知道该从哪里剪
,还是习惯叫它《奠基》。赞美的话太多人说了，不再重复。克里斯托弗·诺兰再一次证明了自己驾驭非线性叙事电影的超凡能力。虽不敢说自己百分百看懂，但是绝对没有大多数人传说的那么难懂，不过肯定是一部会需要你动脑子的影片。至于结局……仁者见仁智者见智，一千个观影者就有一千个哈姆雷特★★★★★
,这故事也忒烂了
,烧脑的诺兰，一贯的大师。三生有幸生活在诺兰的时代，并有幸在电影院一睹风采。配乐大师也是功劳显著，诺兰惯常的闪剪直接让观者感受到高潮一般的快感，内心激荡而震撼，绝望而嘶吼。
,能让人叫好的谜语一定是比较好猜的那种。只有这样受众才会产生对自己智力的陶醉。就是一个基于真实和虚幻的循环结构设定加点动作片元素而已，没有其他任何东西了。一部没有什么意思的娱乐片。
,徘徊在四星和五星之间，主要是剧本设计太强大了竟然很合逻辑。而且能把人看恍惚——不是那种恨高级的恍惚，就是神经刺激过猛无实感。
,精彩，诺兰引领一个时代，给我一个不打五星的理由
,很多人说看完电影会怀疑现实，我说，在梦里他们不用上厕所，而看完电影大家第一件事情就是去洗手间。这是区别现实和梦境最简单的方法。
,启蒙我的电影重作之一。意义非凡，对我的影响远非本身质量可以抗衡。→20.8.30 大银幕N刷。
,构思很赞，脑洞这么大，黑洞都要抖一抖。
,“新概念、新想法、新观点是一部好电影所赋予的比票根寿命还长的纪念品。”究竟是庄周做梦变成了蝴蝶，还是蝴蝶做梦变成了庄周，又有谁知道！最后陀螺有没有倒下，对我已经没有什么差别了 
,诺兰就是想象力的代名词吧。后知后觉发现里面有马良
,烧脑片的内涵不是故弄玄虚让人云里雾里，要烧脑要符合逻辑要剪辑清晰要有故事完整性要有适当人性探讨，诺兰这部影片是典范，加上小李子简直完美。
,最喜欢的电影，满分
,山中千年，世间一日。一个意识结构层面的故事。100921 2nd。200828，突然意识到，这也是消失的爱人。
,剧情很新颖，原来梦可以自己制造和控制，最牛逼的是还能进入梦中梦第六层梦境，但是梦中醒不来就成了永远醒不过来的植物人了，原来做梦也有危险。。。。
