1286995,毛冬瓜,1186,蔬菜,,,1.2,1.5,1.35,冀鲁,长条,斤,2022-05-31 00:00:00,,138,,admin,,,
1286994,架豆,1186,蔬菜,,,2.3,3.5,2.9,鲁辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286993,豆王,1186,蔬菜,,,3.0,4.0,3.5,鲁辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286992,扁豆,1186,蔬菜,,,2.2,2.8,2.5,鲁辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286991,豇豆,1186,蔬菜,,,2.0,3.5,2.75,桂鲁冀,白（粗）\绿（细）,斤,2022-05-31 00:00:00,,138,,admin,,,
1286990,白不老,1186,蔬菜,,,3.0,4.0,3.5,鲁辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286989,油豆,1186,蔬菜,,,3.0,5.0,4.0,鲁,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286988,毛豆,1186,蔬菜,,,2.5,3.6,3.05,琼粤云,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286987,玉米,1186,蔬菜,,,2.0,2.3,2.15,粤云,黏\甜,斤,2022-05-31 00:00:00,,138,,admin,,,
1286986,花生,1186,蔬菜,,,5.0,7.5,6.25,琼,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286985,苦瓜,1186,蔬菜,,,2.0,3.5,2.75,冀鲁,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286984,丝瓜,1186,蔬菜,,,1.5,2.5,2.0,冀鲁,长\短,斤,2022-05-31 00:00:00,,138,,admin,,,
1286983,西葫芦,1186,蔬菜,,,0.6,1.0,0.8,鲁冀,袋\箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1286982,佛手瓜,1186,蔬菜,,,3.8,4.0,3.9,琼,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286981,贝贝南瓜,1186,蔬菜,,,2.0,2.3,2.15,鲁,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286980,金丝南瓜,1186,蔬菜,,,1.4,1.5,1.45,鲁,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286979,板栗南瓜,1186,蔬菜,,,3.0,3.2,3.1,桂,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286978,南北瓜,1186,蔬菜,,,1.5,1.6,1.55,桂,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286977,尖椒,1186,蔬菜,,,1.2,2.5,1.85,辽鲁蒙,袋\箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1286976,红尖椒,1186,蔬菜,,,3.0,4.0,3.5,鲁,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286975,美人椒,1186,蔬菜,,,7.0,13.0,10.0,鲁琼,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286934,金针菇,1186,蔬菜,,,2.0,2.4,2.2,辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286933,油菜,1186,蔬菜,1199,水菜,0.8,1.2,1.0,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286932,小白菜,1186,蔬菜,1199,水菜,1.2,1.6,1.4,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286931,油麦菜,1186,蔬菜,1199,水菜,1.5,1.8,1.65,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286930,奶白菜,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286929,散生菜,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286928,香葱,1186,蔬菜,1199,水菜,2.0,3.0,2.5,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286927,茼蒿,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286926,蒿子秆,1186,蔬菜,1199,水菜,1.5,2.5,2.0,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286925,水萝卜,1186,蔬菜,1199,水菜,2.0,3.0,2.5,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286924,樱桃萝卜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286923,香芹,1186,蔬菜,1199,水菜,2.0,2.5,2.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286922,菠菜,1186,蔬菜,1199,水菜,3.5,4.0,3.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286921,苋菜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286920,菊花菜,1186,蔬菜,1199,水菜,1.0,1.5,1.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286919,青蒜,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286918,盖菜,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286917,芥兰,1186,蔬菜,1199,水菜,2.0,2.5,2.25,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286916,菜心,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286915,空心菜,1186,蔬菜,1199,水菜,1.5,2.0,1.75,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286974,螺丝椒,1186,蔬菜,,,2.0,3.0,2.5,鲁冀,精选,斤,2022-05-31 00:00:00,,138,,admin,,,
1286973,柿子椒,1186,蔬菜,,,1.2,2.3,1.75,鲁冀辽,袋\箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1286972,线椒,1186,蔬菜,,,1.5,3.0,2.25,鲁冀,新,斤,2022-05-31 00:00:00,,138,,admin,,,
1286971,杭椒,1186,蔬菜,,,1.8,2.5,2.15,鲁冀辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286970,小米椒,1186,蔬菜,,,12.0,15.0,13.5,琼,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286969,彩椒,1186,蔬菜,,,4.0,4.5,4.25,鲁冀,红\黄,斤,2022-05-31 00:00:00,,138,,admin,,,
1286968,白萝卜,1186,蔬菜,,,0.35,0.5,0.43,鄂冀,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286967,心里美,1186,蔬菜,,,1.5,1.6,1.55,冀,泥\洗,斤,2022-05-31 00:00:00,,138,,admin,,,
1286966,卞萝卜,1186,蔬菜,,,1.1,1.3,1.2,冀,洗,斤,2022-05-31 00:00:00,,138,,admin,,,
1286965,青萝卜,1186,蔬菜,,,1.2,1.5,1.35,鲁,洗（水果）,斤,2022-05-31 00:00:00,,138,,admin,,,
1286964,青萝卜,1186,蔬菜,,,0.5,0.6,0.55,津鲁冀,洗,斤,2022-05-31 00:00:00,,138,,admin,,,
1286963,胡萝卜,1186,蔬菜,,,0.8,1.0,0.9,鲁,泥,斤,2022-05-31 00:00:00,,138,,admin,,,
1286962,胡萝卜,1186,蔬菜,,,1.0,1.2,1.1,鲁闽,洗,斤,2022-05-31 00:00:00,,138,,admin,,,
1286961,土豆,1186,蔬菜,,,0.7,1.0,0.85,冀,老,斤,2022-05-31 00:00:00,,138,,admin,,,
1286960,土豆,1186,蔬菜,,,1.3,1.6,1.45,云桂鲁,新,斤,2022-05-31 00:00:00,,138,,admin,,,
1286959,葱头,1186,蔬菜,,,0.8,1.0,0.9,豫皖,黄,斤,2022-05-31 00:00:00,,138,,admin,,,
1286958,葱头,1186,蔬菜,,,0.7,1.0,0.85,豫皖,红,斤,2022-05-31 00:00:00,,138,,admin,,,
1286957,山药,1186,蔬菜,,,4.5,5.0,4.75,冀,脆\麻新,斤,2022-05-31 00:00:00,,138,,admin,,,
1286956,山药,1186,蔬菜,,,6.5,8.0,7.25,豫冀,铁棍,斤,2022-05-31 00:00:00,,138,,admin,,,
1286955,莲藕,1186,蔬菜,,,3.5,4.5,4.0,津,泥\洗,斤,2022-05-31 00:00:00,,138,,admin,,,
1286954,红薯,1186,蔬菜,,,2.2,2.6,2.4,冀,济薯26,斤,2022-05-31 00:00:00,,138,,admin,,,
1286953,红薯,1186,蔬菜,,,2.8,3.6,3.2,粤琼,西瓜红\烟薯,斤,2022-05-31 00:00:00,,138,,admin,,,
